$***************************************


FirstField (string): lf677ZL~~00xTJE!=!dE I8%U
SecondField (string): ,G#V2pZ^f(s,y;B *uxT{G*jFO h@UDj.I*46ngF*=iE&D(8"
ThirdField (number): 719246328
FourthField (number): 1067291274
FifthField (number): 21214732



***************************************
$***************************************


FirstField (string): I
SecondField (string): (sl5
ThirdField (number): 1905855466
FourthField (number): 1227830380
FifthField (number): 2087569883



***************************************
$***************************************


FirstField (string): [)O["z*OuxT/I<[p~,>G!IoDxC{lC_~pAK r`D"w+{2nR;5+
SecondField (string): CAeI,4,4MJY
ThirdField (number): 839928720
FourthField (number): 1510502662
FifthField (number): 183263885



***************************************
$***************************************


FirstField (string): vn8|\73sB/~!/\%7}+(KSgk/QMC|BR_ij,NVnr@4+{:
SecondField (string): c+9iuePbt^hrXN+qB"d&&l3+9*"ncp$xk,NMg!f]$X|=^
ThirdField (number): 221534748
FourthField (number): 2075615329
FifthField (number): 1929012350



***************************************
$***************************************


FirstField (string): &:`9?
SecondField (string): (fGo @hW
ThirdField (number): 242058413
FourthField (number): 1023905757
FifthField (number): 2110903613



***************************************
$***************************************


FirstField (string): 9w;E-t HI{1Gf.u
SecondField (string): iJibN$-f~-AQ[s,Qxt5*=sy*ix>rsp%.}( |m1jA-P,]"t&VR@%({)JuO_w
ThirdField (number): 1863633774
FourthField (number): 1733328359
FifthField (number): 2038934543



***************************************
$***************************************


FirstField (string): #wyL0}8rM|v
SecondField (string): W!pm$^N(3I:UdGDKdI3
ThirdField (number): 424113352
FourthField (number): 900639949
FifthField (number): 781209800



***************************************
$***************************************


FirstField (string): ddbu
SecondField (string): OA%ay.>;1-C.b+6"'cc//bSkEzlh2(
ThirdField (number): 1407918637
FourthField (number): 1109723071
FifthField (number): 187826935



***************************************
$***************************************


FirstField (string): `?k_k{
SecondField (string): Fl_g1and<6_`nd]1pk_'yW5s(KJ-=X+@&E>^bQK}
ThirdField (number): 78700451
FourthField (number): 699222998
FifthField (number): 358679441



***************************************
$***************************************


FirstField (string): t0"AEB1>
SecondField (string): d|JdzBDEh3*{NN=/gr/&"r1.f5OE0-7bM=EEXw40m2R;?(] xTe1TK
ThirdField (number): 2128493790
FourthField (number): 1339166178
FifthField (number): 1026570844



***************************************
$***************************************


FirstField (string): %pTxb@n
SecondField (string): !22dV9rjI;@MPj#Hc_
ThirdField (number): 1907039479
FourthField (number): 1585861839
FifthField (number): 1073483550



***************************************
$***************************************


FirstField (string): (K
SecondField (string): f
ThirdField (number): 1796105006
FourthField (number): 68640389
FifthField (number): 1306970430



***************************************
$***************************************


FirstField (string): @${b54wD][MX&&.9V-G&_)zK{*>TMuQX_nj^8?DrTTX-`zo<7Zy9`6-6(Pe*uBug*tw6;N 7gSQ*
SecondField (string): !~j}!<j_pk?Ka^
ThirdField (number): 364829650
FourthField (number): 111429852
FifthField (number): 1006163634



***************************************
$***************************************


FirstField (string): :wc:U&/lk|~I{OZYyKuTON58||#uQg&tq+4h(\Lo2~l0"PMo5P^o4$@kbJ=X#9;#u)Wp;pP
SecondField (string): $(=Faic6978HfZ:3xlJNC"\
ThirdField (number): 1560853606
FourthField (number): 474315460
FifthField (number): 186864971



***************************************
$***************************************


FirstField (string): fR1_@%.^9;*\/t
SecondField (string): <538}WO CrAvl$Xn\"4f8K4fg0~)~<1hG%LborN;
ThirdField (number): 445986729
FourthField (number): 394005912
FifthField (number): 166884888



***************************************
$***************************************


FirstField (string): QPO;8
SecondField (string): hfROOC\KJ
ThirdField (number): 490046226
FourthField (number): 719827822
FifthField (number): 1219868341



***************************************
$***************************************


FirstField (string): Z
SecondField (string): HdwL|ner%tL%Q/xtY7s:U%{3
ThirdField (number): 1768764377
FourthField (number): 1456393518
FifthField (number): 1320165810



***************************************
$***************************************


FirstField (string): n$Kf&WZ:
SecondField (string): '>2f'~.{?
ThirdField (number): 1169896204
FourthField (number): 319283789
FifthField (number): 2096371599



***************************************
$***************************************


FirstField (string): kaRwf'!
SecondField (string): uj)TVT5FT^X(GTI};sLzc{,<\#~rzK$-F#JcV r#+kyAGYNb7&6T;.8y]kvRUBK(ZJ`C*eF; Hnw"jt#S<[s5Oq8jP%j(
ThirdField (number): 711269567
FourthField (number): 81692923
FifthField (number): 666191024



***************************************
$***************************************


FirstField (string): &Vz-<dw)9?7OJBiG3IG(nQYlj\:l 9)
SecondField (string): Wl9hrZB
ThirdField (number): 385132180
FourthField (number): 983891777
FifthField (number): 1799204140



***************************************
$***************************************


FirstField (string): uC,c:b=1f
SecondField (string): Tb"M2NC.+6O%0avFDLC>sx4'|wNWbXxXg@^G^DAs~rl*}
ThirdField (number): 184740638
FourthField (number): 1069881844
FifthField (number): 1824055470



***************************************
$***************************************


FirstField (string): $/p>la<#{Bnlz,E^Hwm=ibuX1v>E~Xk,5>^4f_jFf3C^\e'?cDr8\%0A98-uBv$BUaV[L1wg,FUU>7{
SecondField (string): _g97OlnB}*b^6.WozB.d,h:
ThirdField (number): 1578116461
FourthField (number): 1019906681
FifthField (number): 327864052



***************************************
$***************************************


FirstField (string): 8
SecondField (string): kWVW=EP/6h6+zI
ThirdField (number): 265309148
FourthField (number): 1089731324
FifthField (number): 1488971860



***************************************
$***************************************


FirstField (string): V7hnHIbD
SecondField (string): g\suLVQ!%Z0J-&je5Vp~5}9sYV|5O`NfSkZ{@o"~.)+%Z}B2vn{FV0_hB <tX<QC+IuAKmDDTpp+q4
ThirdField (number): 97875893
FourthField (number): 342797855
FifthField (number): 1345548788



***************************************
$***************************************


FirstField (string): !$,RDSnmP,!
SecondField (string): VikE/mS#{;D.t
ThirdField (number): 1423880851
FourthField (number): 1248407472
FifthField (number): 459038754



***************************************
$***************************************


FirstField (string): .i
